"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/05/2023","AQS","420010001","2","1.9","ppb","1","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/06/2023","AQS","420010001","2","1.8","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/07/2023","AQS","420010001","2","1.9","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/08/2023","AQS","420010001","2","1.9","ppb","1","Arendtsville","22","92.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/09/2023","AQS","420010001","2","2.5","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/10/2023","AQS","420010001","2","2.2","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/11/2023","AQS","420010001","2","2.5","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/12/2023","AQS","420010001","2","2.2","ppb","3","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/13/2023","AQS","420010001","2","2.2","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/14/2023","AQS","420010001","2","2.5","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/15/2023","AQS","420010001","2","1.9","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/16/2023","AQS","420010001","2","2.2","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/17/2023","AQS","420010001","2","1.9","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/18/2023","AQS","420010001","2","1.9","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/19/2023","AQS","420010001","2","2.3","ppb","3","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/20/2023","AQS","420010001","2","2.6","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/21/2023","AQS","420010001","2","2.1","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/22/2023","AQS","420010001","2","2.1","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/23/2023","AQS","420010001","2","2.1","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/24/2023","AQS","420010001","2","2.2","ppb","3","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/25/2023","AQS","420010001","2","1.7","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/26/2023","AQS","420010001","2","1.8","ppb","1","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/27/2023","AQS","420010001","2","1.6","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/28/2023","AQS","420010001","2","1.6","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/29/2023","AQS","420010001","2","1.8","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/30/2023","AQS","420010001","2","1.8","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/01/2023","AQS","420010001","2","1.9","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/02/2023","AQS","420010001","2","1.9","ppb","1","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/03/2023","AQS","420010001","2","1.7","ppb","1","Arendtsville","22","92.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/04/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/05/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/06/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/07/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/08/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/09/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/10/2023","AQS","420010001","2","0.3","ppb","0","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/11/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/12/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/13/2023","AQS","420010001","2","0.4","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/14/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/15/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/16/2023","AQS","420010001","2","0.8","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/17/2023","AQS","420010001","2","0.1","ppb","0","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/18/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/19/2023","AQS","420010001","2","0","ppb","0","Arendtsville","23","96.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/20/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/21/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/22/2023","AQS","420010001","2","0","ppb","0","Arendtsville","24","100.0000","42401","Sulfur dioxide","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
